x,y_h
0.000000,0.000000
-20.000000,1.007900
1.007900,-0.005461
-0.005448,10.224000
10.273000,-20.000000
-20.000000,1.008000
1.008000,-0.005397
-0.005384,10.471000
10.520000,-20.000000
-20.000000,1.008000
1.008000,-0.005333
-0.005320,10.720000
